order_id,city,user_id,amount,price_band,category,is_promotion,discount_rate,is_group_buy,share_count,order_date
NC_0001,南昌,U_NC_0090,51.25,50-100元,服饰鞋帽,True,16.0,False,0,2026-05-09
NC_0002,南昌,U_NC_0666,51.59,50-100元,服饰鞋帽,True,14.0,False,0,2026-05-31
NC_0003,南昌,U_NC_0715,267.81,100元以上,服饰鞋帽,True,18.0,False,0,2026-03-21
NC_0004,南昌,U_NC_0619,63.89,50-100元,服饰鞋帽,True,6.5,True,3,2026-04-14
NC_0005,南昌,U_NC_0634,11.74,0-50元,服饰鞋帽,True,18.8,True,3,2026-05-20
NC_0006,南昌,U_NC_0239,244.65,100元以上,服饰鞋帽,True,14.9,False,0,2026-03-11
NC_0007,南昌,U_NC_0700,252.05,100元以上,服饰鞋帽,True,7.4,True,3,2026-05-29
NC_0008,南昌,U_NC_0702,80.46,50-100元,服饰鞋帽,True,7.5,True,5,2026-03-29
NC_0009,南昌,U_NC_0217,88.42,50-100元,服饰鞋帽,True,17.1,False,0,2026-03-09
NC_0010,南昌,U_NC_0470,326.87,100元以上,美妆个护,True,12.5,False,0,2026-05-22
NC_0011,南昌,U_NC_0409,15.59,0-50元,美妆个护,True,16.2,False,0,2026-05-14
NC_0012,南昌,U_NC_0643,99.87,50-100元,服饰鞋帽,True,16.3,False,0,2026-03-20
NC_0013,南昌,U_NC_0567,37.22,0-50元,服饰鞋帽,True,13.9,False,0,2026-04-02
NC_0014,南昌,U_NC_0301,104.59,100元以上,美妆个护,True,13.1,True,3,2026-03-15
NC_0015,南昌,U_NC_0306,72.69,50-100元,宠物用品,True,12.5,True,1,2026-05-20
NC_0016,南昌,U_NC_0001,303.07,100元以上,服饰鞋帽,True,7.4,False,0,2026-05-07
NC_0017,南昌,U_NC_0060,74.43,50-100元,服饰鞋帽,True,19.8,False,0,2026-03-31
NC_0018,南昌,U_NC_0785,32.69,0-50元,服饰鞋帽,True,17.2,False,0,2026-05-08
NC_0019,南昌,U_NC_0553,36.39,0-50元,母婴用品,True,18.1,False,0,2026-03-28
NC_0020,南昌,U_NC_0124,375.95,100元以上,美妆个护,True,15.1,True,5,2026-04-27
NC_0021,南昌,U_NC_0070,12.56,0-50元,服饰鞋帽,True,13.8,True,1,2026-03-30
